ID;Start time;Completion time;Email;Name;Last modified time;Was ist dein Geschlecht?;Wie viel schläfst im Durchschnitt? (Wochentag/Uni);Wie schätzt du deinen durchschnittliche Schlafqualität ein?;Machst du Sport?;Wie viele Stunden pro Woche machst du Sport?;Wie viel Screentime hast du im Durchschnitt (pro Tag) ?
1;5.15.25 10:47:23;5.15.25 10:51:28;anonymous;;;Männlich;8;3;Ja ;6;
2;5.15.25 11:45:30;5.15.25 11:50:26;anonymous;;;Weiblich;7;6;Ja ;13;
3;5.15.25 12:56:29;5.15.25 12:57:24;anonymous;;;Männlich;5;5;Ja ;6;11
4;5.15.25 16:01:37;5.15.25 16:03:54;anonymous;;;Weiblich;7;7;Ja ;5;3
5;5.19.25 8:07:00;5.19.25 8:08:45;anonymous;;;Weiblich;7;6;Ja ;4;3
6;5.19.25 10:46:50;5.19.25 10:48:38;anonymous;;;Männlich;7;8;Ja ;7;4
7;5.19.25 10:57:50;5.19.25 10:58:48;anonymous;;;Männlich;6;3;Ja ;12;8
8;5.19.25 10:58:54;5.19.25 10:59:11;anonymous;;;Weiblich;6;6;Nein;1;10
9;5.19.25 10:59:18;5.19.25 10:59:28;anonymous;;;Weiblich;5;4;Ja ;5;5
10;5.19.25 10:59:33;5.19.25 11:00:26;anonymous;;;Weiblich;4;0;Nein;1;4
11;5.19.25 11:00:41;5.19.25 11:01:09;anonymous;;;Männlich;6;6;Ja ;6;5
12;5.19.25 11:01:13;5.19.25 11:01:25;anonymous;;;Divers;8;9;Ja ;8;2
13;5.19.25 11:01:29;5.19.25 11:01:38;anonymous;;;Männlich;5;4;Ja ;5;3
14;5.19.25 11:01:41;5.19.25 11:01:55;anonymous;;;Weiblich;4;0;Ja ;2;12
15;5.19.25 11:01:58;5.19.25 11:02:10;anonymous;;;Männlich;5;4;Ja ;4;2
16;5.19.25 11:02:12;5.19.25 11:03:29;anonymous;;;Weiblich;4;4;Ja ;2;1
17;5.19.25 11:03:33;5.19.25 11:03:47;anonymous;;;Weiblich;7;8;Nein;0;7
18;5.19.25 11:03:53;5.19.25 11:04:05;anonymous;;;Männlich;8;8;Ja ;8;8
19;5.19.25 11:04:31;5.19.25 11:04:41;anonymous;;;Männlich;5;4;Ja ;3;7
20;5.19.25 11:05:29;5.19.25 11:05:41;anonymous;;;Männlich;5;7;Ja ;3;7
21;5.19.25 11:05:45;5.19.25 11:05:55;anonymous;;;Weiblich;4;1;Nein;1;4
22;5.19.25 11:05:59;5.19.25 11:06:08;anonymous;;;Weiblich;5;6;Ja ;5;8
23;5.19.25 11:06:15;5.19.25 11:06:25;anonymous;;;Weiblich;3;4;Ja ;2;7
24;5.19.25 11:06:29;5.19.25 11:06:40;anonymous;;;Männlich;4;3;Ja ;3;5
25;5.19.25 11:07:13;5.19.25 11:07:21;anonymous;;;Weiblich;3;4;Ja ;2;5
26;5.19.25 11:08:18;5.19.25 11:08:33;anonymous;;;Männlich;5;6;Nein;0;7
27;5.19.25 11:08:40;5.19.25 11:08:54;anonymous;;;Weiblich;10;10;Ja ;6;3
28;5.19.25 11:08:58;5.19.25 11:09:11;anonymous;;;Männlich;2;0;Nein;0;6
29;5.19.25 11:09:19;5.19.25 11:09:32;anonymous;;;Weiblich;5;3;Nein;2;3
30;5.19.25 11:10:20;5.19.25 11:10:27;anonymous;;;Männlich;4;4;Nein;;2
31;5.19.25 11:10:32;5.19.25 11:10:42;anonymous;;;Weiblich;7;4;Nein;;8
32;5.19.25 11:10:45;5.19.25 11:10:53;anonymous;;;Weiblich;3;6;Nein;;4
33;5.19.25 11:11:08;5.19.25 11:11:19;anonymous;;;Weiblich;5;4;Nein;;12
34;5.19.25 11:11:41;5.19.25 11:12:06;anonymous;;;Weiblich;7;5;Nein;;7
35;5.19.25 11:12:09;5.19.25 11:12:16;anonymous;;;Männlich;5;5;Ja ;5;5
36;5.19.25 11:12:20;5.19.25 11:12:36;anonymous;;;Männlich;8;10;Ja ;8;8
37;5.19.25 11:12:40;5.19.25 11:12:57;anonymous;;;Männlich;6;4;Nein;;8
38;5.19.25 11:13:13;5.19.25 11:13:20;anonymous;;;Weiblich;5;8;Nein;;3
39;5.19.25 11:13:27;5.19.25 11:13:35;anonymous;;;Weiblich;12;10;Nein;;2
40;5.19.25 11:13:44;5.19.25 11:13:54;anonymous;;;Weiblich;6;3;Ja ;6;5
41;5.19.25 11:14:02;5.19.25 11:14:11;anonymous;;;Weiblich;6;6;Ja ;5;3
42;5.19.25 11:14:26;5.19.25 11:14:35;anonymous;;;Weiblich;2;2;Nein;;12
43;5.19.25 11:15:32;5.19.25 11:15:50;anonymous;;;Männlich;9;10;Ja ;17;8
44;5.19.25 11:15:54;5.19.25 11:16:02;anonymous;;;Männlich;9;9;Nein;;8
45;5.19.25 11:16:07;5.19.25 11:16:15;anonymous;;;Männlich;6;5;Nein;;3
46;5.19.25 11:16:21;5.19.25 11:16:44;anonymous;;;Weiblich;6;6;Nein;;7
47;5.19.25 11:17:15;5.19.25 11:17:25;anonymous;;;Männlich;6;6;Ja ;6;7
48;5.19.25 11:17:31;5.19.25 11:17:38;anonymous;;;Weiblich;6;2;Nein;;6
49;5.19.25 11:17:41;5.19.25 11:17:48;anonymous;;;Weiblich;6;4;Nein;;6
50;5.19.25 11:17:50;5.19.25 11:17:57;anonymous;;;Männlich;6;6;Ja ;5;7
51;5.19.25 11:17:59;5.19.25 11:18:06;anonymous;;;Männlich;6;3;Nein;;7
52;5.19.25 11:18:10;5.19.25 11:19:54;anonymous;;;Weiblich;8;8;Ja ;30;5
